"species"	"species_name"	"abundance"	"IUCN.status"	"mass.g"	"home.range"	"density"	"extant"	"longevity"	"litter"	"loctype"	"diet.cat"	"shannon"	"simpson"
"Herpestes pulverulentus"	"Herpestes_pulverulentus"	0.012107	"LC"	786.6023874	NA	NA	1	NA	NA	"t"	NA	NA	NA
"Herpestes sanguineus"	"Herpestes_sanguineus"	0.003663	"LC"	465.2541257	NA	NA	1	12.6	NA	"sc"	NA	NA	NA
"Hyaena hyaena"	"Hyaena_hyaena"	0.00134	"NT"	30090.28939	66.61644447	0.085	1	25	2.4	"t"	"3"	0.739113765	0.005165053
"Ichneumia albicauda"	"Ichneumia_albicauda"	0.007519	"LC"	3417.845476	0.629876519	NA	1	NA	NA	"t"	NA	NA	NA
"Ictonyx libycus"	"Ictonyx_libycus"	NA	"LC"	753.4545757	NA	NA	1	NA	2.5	NA	NA	NA	NA
"Ictonyx striatus"	"Ictonyx_striatus"	0.003019	"LC"	753.4545757	NA	0.297	1	NA	2.3	"sf"	NA	NA	NA
"Leopardus pardalis"	"Leopardus_pardalis"	NA	"LC"	8391.944072	19.58587896	0.8495	1	28.2	1.5	"sc"	"2"	0.585012229	0.019623721
"Leopardus wiedii"	"Leopardus_wiedii"	NA	"NT"	2554.296578	5.223450167	NA	1	NA	1	"a"	"2"	0.505693338	0.025309251
"Leptailurus serval"	"Leptailurus_serval"	0.403587	"LC"	10374.34817	NA	NA	1	22.4	2.4	"t"	"2"	0.203854004	0.080387721
"Lontra canadensis"	"Lontra_canadensis"	0.009094	"LC"	7107.467909	NA	NA	1	26.5	3	"sa"	"3"	0.56713545	0.016866501
"Lutra lutra"	"Lutra_lutra"	0.00098	"NT"	6148.414523	NA	NA	1	18.2	2.5	"sa"	"3"	0.582700293	0.014190582
"Lycalopex culpaeus"	"Lycalopex_culpaeus"	0.072131	""	8020.807878	NA	NA	1	NA	NA	"t"	"2"	0.507806078	0.024763574
"Lycalopex griseus"	"Lycalopex_griseus"	NA	""	2610.918322	NA	NA	1	NA	NA	"t"	"3"	0.445095248	0.022514371
"Lycalopex gymnocercus"	"Lycalopex_gymnocercus"	0	""	5598.516187	1.235797984	1.5	1	NA	3.35	"t"	"4"	0.752032747	0.005640372
"Lycalopex sechurae"	"Lycalopex_sechurae"	NA	""	5377.240866	NA	NA	1	NA	NA	"t"	NA	NA	NA
"Lycaon pictus"	"Lycaon_pictus"	0.011655	"EN"	25819.44304	659	0.0151	1	15.1	8.8	"t"	"2"	0.017826484	0.239470861
"Lynx canadensis"	"Lynx_canadensis"	0	"LC"	9705.222482	NA	NA	1	26.8	3.5	"t"	NA	NA	NA
"Lynx lynx"	"Lynx_lynx"	0.001074	"LC"	16332.49293	277.7091102	NA	1	23.7	2.3	"sc"	"2"	0.07767872	0.134853781
"Lynx pardinus"	"Lynx_pardinus"	0.002404	"EN"	11528.43036	NA	NA	1	NA	3	"sc"	"2"	0.206413606	0.072405607
"Lynx rufus"	"Lynx_rufus"	0.018074	"LC"	9008.932542	12.53143537	0.355232334	1	32.3	2.5	"sc"	"2"	0.163189496	0.082900391
"Martes americana"	"Martes_americana"	0.000335	"LC"	946.0712952	NA	NA	1	NA	2.6	"sr"	"2"	0.387023071	0.040661209
"Martes caurina"	"Martes_caurina"	NA	""	1721.289919	NA	NA	1	NA	NA	"sr"	"3"	0.625883863	0.012396438
"Martes flavigula"	"Martes_flavigula"	NA	"LC"	2812.661931	8.944546853	NA	1	NA	2.5	"sc"	"4"	0.731483893	0.008047453
"Martes foina"	"Martes_foina"	0.021689	"LC"	1349.910447	2.480778652	NA	1	18.2	3.5	"sc"	"4"	0.660177262	0.007481861
"Martes martes"	"Martes_martes"	0	"LC"	1491.844451	1.394327302	NA	1	18.2	3.3	"sr"	"4"	0.839208828	0.002652597
"Martes zibellina"	"Martes_zibellina"	0	"LC"	1721.289919	NA	NA	1	18.4	3	"sc"	"2"	0.535403977	0.024760775
"Meles leucurus"	"Meles_leucurus"	0.085866	"LC"	5998.278173	1.259406372	NA	1	NA	NA	"sf"	"5"	0.507150223	0.030948187
"Meles meles"	"Meles_meles"	0.004832	"LC"	10521.73082	1.717096428	4.350125508	1	18.6	3	"sf"	"4"	0.840614471	0.003838997
"Mellivora capensis"	"Mellivora_capensis"	0.010335	"LC"	7732.728836	194.5384808	0.034	1	NA	2.5	"sf"	"3"	0.749171045	0.003710219
"Melursus ursinus"	"Melursus_ursinus"	NA	"VU"	67052.09465	3.029678332	NA	1	33.3	NA	"sc"	"5"	0.185374202	0.078906769
"Mephitis macroura"	"Mephitis_macroura"	NA	"LC"	1008.207221	0.130983934	NA	1	NA	5.5	"t"	NA	NA	NA
"Mephitis mephitis"	"Mephitis_mephitis"	0.187483	"LC"	1480.829482	2.83889922	0.8121019	1	13.9	6.8	"t"	NA	NA	NA
"Mungos mungo"	"Mungos_mungo"	0.105263	"LC"	1471.196228	0.804	17.4	1	17.4	3.8	"sf"	"5"	0.422551844	0.036222378
"Mustela altaica"	"Mustela_altaica"	NA	"NT"	237.4432277	NA	NA	1	NA	4	NA	NA	NA	NA
"Mustela erminea"	"Mustela_erminea"	0.000315	"LC"	120.9597773	0.110603565	NA	1	12.5	4.5	"t"	NA	NA	NA
"Mustela eversmanii"	"Mustela_eversmanii"	NA	"LC"	237.4432277	NA	NA	1	NA	6.9	"t"	NA	NA	NA
"Mustela nivalis"	"Mustela_nivalis"	0.000692	"LC"	77.52691772	0.20090129	NA	1	9.1	5.8	"t"	NA	NA	NA
"Mustela putorius"	"Mustela_putorius"	0.004093	"LC"	681.2291775	1.77674893	NA	1	11.1	6	"t"	NA	NA	NA
"Mustela sibirica"	"Mustela_sibirica"	NA	"LC"	556.9029092	0.031712206	27.22052518	1	8.8	5	"t"	"3"	0.976918615	0
"Nasua nasua"	"Nasua_nasua"	0	"LC"	4388.579501	0.319787997	5.486485083	1	23.7	3.5	"sc"	"4"	0.576649957	0.015131635
"Nasuella olivacea"	"Nasuella_olivacea"	NA	"DD"	NA	NA	NA	1	NA	NA	"sa"	NA	NA	NA
"Neofelis nebulosa"	"Neofelis_nebulosa"	NA	"VU"	12844.17086	36.06306838	0.026691748	1	19.8	3	NA	NA	NA	NA
"Neogale frenata"	"Neogale_frenata"	0.014318	""	143.6295152	NA	7.722	1	NA	4.5	NA	NA	NA	NA
