species	life form	ecozones	regions	individuals	samples	samples within range	sampling probability within range	degree cells	mean pairwise distance	minimum span	northern limit	southern limit	eastern limit	western limit	minimum MAT	maximum MAT	minimum MAP	maximum MAP	raw frequency	mean abundance	median abundance	top quartile abundance	maximum abundance	abundance within range	abundance per day	IUCN status	mass (g)	mass N	mass source	female mass	female mass N	male mass	male mass N	ear length	head and body length	hind foot length	skull length	skull width	tail length	total body length	upper tooth row length	diet 1	diet 2	diet source	home range	female range	male range	daily path length	daily movement	population density	home range habitat
Panthera leo	carnivore			20	3	10	0.1000	3	27.23	44.59	11.6	-7.6	34.9	-1.5	21.000	25.5	500.0	1300.0	0.039139	0.037791	0.037152	0.044000	0.050847	0.001040	0.003646	VU	147353.604852325	14	species	122642.768874197	7	177043.335390183	7									carnivore		species	669.256115722029	590.960766373322	806.571546733456	5.02426830470742		0.006	tropical/subtropical savanna
Panthera onca	carnivore			298	19	61	0.2623	19	33.14	132.73	30.9	-27.2	-40.0	-109.9	14.000	28.000	500.0	3679.0	0.108285	0.089268	0.093750	0.175815	0.380952	0.026886	0.005698	NT	65406.1081680185	25	species	50098.5814102463	8	74149.6448355755	17	85.9069263796581	1310	247.487373415292	229.397057426634	159.806057169534	570.154948268686	1899.22105390295		carnivore		species	89.5035950476071	71.3421974300592	115.985860427633	5.58611894444291	1.45002648748873	0.0291402472928457	tropical/subtropical savanna,tropical/subtropical dry broadleaf forest,tropical/subtropical moist broadleaf forest,tropical/subtropical wetland
Panthera pardus	carnivore			2338	44	120	0.3417	37	48.68	280.51	43.0	-34.0	130.7	-11.5	6.000	29.5	68.0	3500.0	0.125604	0.077404	0.102166	0.196939	0.639344	0.062401	0.010722	NT	32655.399798418	76	species	26963.1439517758	27	36290.3660189294	49	72.2100934045242	1097.93591872805	215.552869593478	213.117875946681		693.208410179001	2868.05196512171		carnivore		species	30.0140562140169	22.1172595732828	47.4476553688378	7.93465067025541	3.25931356149065	0.0167928556237467	tropical/subtropical dry broadleaf forest,tropical/subtropical moist broadleaf forest
Panthera tigris	carnivore			621	13	65	0.1538	12	21.57	102.01	43.0	-0.4	130.7	74.4	18.4	29.5	760.0	3500.0	0.107626	0.047908	0.055838	0.151515	1.000000	0.024893	0.008814	EN	167650.469997362	30	species	140822.307522451	20	237613.665007064	10							4052.62629962684		carnivore		species	153.842923973881	152.579124298967	155.801111123143	3.75441491456833		0.684992096806183	temperate broadleaf/mixed forest,tropical/subtropical dry broadleaf forest,tropical/subtropical moist broadleaf forest
Panthera uncia	carnivore			515	7	4	0.7500	7	9.50	34.78	41.9	30.3	98.1	75.0	-4.000	6.55	50.0	285.0	0.287709	0.153068	0.298969	0.310000	0.442133	0.293562	0.025563	EN	35757.0869558818	22	species	33336.8922861926	10	37907.6020664053	12									carnivore		species	51.4983781779776	28.49561369755	93.0698662296234		5.1		desert/xeric shrubland
Paradoxurus hermaphroditus	carnivore			698	35	60	0.5333	30	21.02	115.97	35.2	-7.1	117.5	70.9	17.500	29.5	760.0	4147.0	0.066743	0.064165	0.078167	0.314865	1.000000	0.029115	0.004541	LC	2361.47544331922	13	species	2321.80640039794	5	2386.61204057215	8	41.9523539268061	596.154440634058		101.6	57.15	541.108026842845	1137.2624674769		frugivore	invertivore	species	0.419042431278549	0.163612115411273	0.699914259225119	1.09528157233707	0.812403840463596		tropical/subtropical dry broadleaf forest,tropical/subtropical moist broadleaf forest
Paradoxurus jerdoni	carnivore			12	1			1			11.6	11.6	76.6	76.6	21.5	21.5	1500.0	1500.0	0.008345	0.008345	0.008345	0.008345	0.008345		0.001667	LC	2361.47544331921		genus													frugivore	invertivore	species							
Parahyaena brunnea	carnivore			39	3			2	9.40	10.23	-20.5	-20.9	28.1	17.2	20.400	21.000	532.0	650.0	0.128713	0.121308	0.105769	0.179467	0.253165		0.034061	NT	48006.1860408777	17	species	42955.5222878091	5	48293.761149348	9		1209.66568638942																
Pardofelis marmorata	carnivore			190	14	39	0.2821	12	18.97	50.95	27.6	-0.4	117.5	90.8	21.200	29.5	1880.0	3800.0	0.038183	0.021213	0.022682	0.071631	0.177778	0.011639	0.001792	NT	3700	1	species	3700	1			50	620	125			530	1150		carnivore		species	5.9	5.9			0.477		tropical/subtropical dry broadleaf forest
Pekania pennanti	carnivore			341	4	7	0.2857	4	6.82	27.63	56.8	44.4	-78.7	-118.4	-0.949999999999999				0.027456	0.012000	0.019740	0.032060	0.032870	0.026286	0.003088		3815.23118793381	13	species	2600	6	5300	7																		
Potos flavus	carnivore			5	2			1		0	-15.2	-15.2	-39.2	-39.2	24.000	24.000	1800.0	1800.0	0.017422	0.013982	0.018377	0.018377	0.030303		0.001258	LC	1739.8954300011	14	species			1624	2	37.6760758118565	428.972454323856	86.4169803675557			474.004581973048	902.977036296903		frugivore		species	0.263666455962832	0.176	0.395	1.94866621051426			tropical/subtropical moist broadleaf forest
Prionailurus bengalensis	carnivore			2098	43	62	0.6452	37	21.97	151.54	35.2	-7.1	118.2	70.9	11.000	29.5	735.0	4147.0	0.106503	0.073562	0.091644	0.148737	0.822222	0.094137	0.005768	LC	3376.33113164754	7	species	3415.58008175968	4	3324.69988057548	3		533			55.9	291.710472900786	824.710472900786		carnivore		species	4.74009952934376	5.48658547671187	3.9003287033931		0.989846400767953	1.34889486144642	temperate broadleaf/mixed forest,tropical/subtropical dry broadleaf forest
Prionailurus planiceps	carnivore			20	4	6	0.1667	4	8.79	19.28	4.8	-0.0	117.2	102.6	26.000	26.000	3800.0	4147.0	0.024155	0.022560	0.025626	0.062828	0.095238	0.008738	0.001404	EN	1766.029595065	3	species	1749.28556845359	2	1800	1	43	521				143	664		carnivore		genus							
Prionailurus rubiginosus	carnivore			17	2			2	9.34	8.27	19.5	11.6	76.6	74.0	21.5	21.5	1500.0	1500.0	0.009534	0.011878	0.016927	0.016927	0.028986		0.002046	VU	2779.78313939091		genus													carnivore		genus							
Prionodon linsang	carnivore			40	10	32	0.2188	9	15.34	40.66	26.4	2.4	117.5	96.6	23.000	29.5	2340.0	3800.0	0.011360	0.014911	0.011932	0.027477	0.052239	0.003336	0.000490	LC	686.067103498223	10	species	716.000000000001	7	621	3		410.79083402241				347.556895415392	758.347729437802											
Prionodon pardicolor	carnivore			66	5	4	0.5000	5	7.05	17.70	27.9	21.8	108.8	97.7	18.4	22.000	1350.0	3960.0	0.069547	0.046504	0.088810	0.090909	0.101852	0.080052	0.001975	LC	826.957677272543	6	species	583	3	1173	3	30.9838667696593	387.969070932207	61.1555394056826			354.016948746808	741.986019679015											
Procyon cancrivorus	carnivore			187	21	39	0.4359	19	15.47	90.07	0.9	-31.2	-39.2	-80.9	17.000	26.000	500.0	3000.0	0.052425	0.050776	0.068182	0.136364	0.181818	0.038967	0.002087	LC	4995.65057493072	3	species	4082	1			49.118966793123	619.719783187724	126.365195646332			318.860530679547	938.580313867272		carnivore	frugivore	species	0.793246827861937					0.200375560768089	tropical/subtropical dry broadleaf forest
Procyon lotor	carnivore			4065	42	126	0.3016	39	33.42	275.65	52.9	8.7	143.3	-122.1	4.300	28.000	436.0	4260.0	0.384506	0.151198	0.266181	0.669627	1.000000	0.097029	0.060821	LC	5493.09468501017	80	species	5205.8816633979	35	5826.9205509532	40	49.2404163834136	547.125201811496	108.512700059163	110.5	69.4	243.546756873709	790.671958685205	40.4	carnivore	granivore	species	2.08712202467006	0.750634455889372	5.1068401984794	3.45657742447774	0.442139118377915	2.13395051559818	temperate broadleaf/mixed forest,temperate savanna
Proteles cristata	carnivore			44	6	10	0.2000	5	19.15	41.50	-3.6	-33.6	35.0	14.9	17.700	24.000	244.0	532.0	0.040404	0.032157	0.034382	0.048643	0.114286	0.012204	0.005159	LC	9119.90698026234	48	species	9240.49255387805	23	9010.3585453756	25									invertivore		species	3.8	3.8		4.2		1	tropical/subtropical savanna
Puma concolor	carnivore			547	41	89	0.4270	38	34.85	188.06	56.3	-25.6	-40.0	-112.7	2.000	27.600	500.0	3679.0	0.078076	0.071659	0.099099	0.146552	1.000000	0.021521	0.003496	LC	48721.3809905021	150	species	40600	78	59362.5582689553	72	75	1520	248			737.418258669041	1991.87800914208		carnivore		species	179.262530027166	256.72890033118	125.171161603881	6.750588	2.3178385573077	0.0388076980484938	temperate coniferous forest,tropical/subtropical dry broadleaf forest
Speothos venaticus	carnivore			2	2	1	0.0000	2	16.96	17.21	0.9	-15.0	-45.0	-51.6	24.000	24.000	1100.0	2600.0	0.002762	0.006529	0.015431	0.015431	0.029412	0.000000	0.000073	NT	5000	1	species			5000	1	47.370877129308	604.979338490167	109.577818740395		78	128.383366057564	705.596992773968		carnivore		species							
Spilogale gracilis	carnivore			4	1	1	0.0000	1			30.0	30.0	-109.5	-109.5	18.000	18.000	500.0	500.0	0.017391	0.017391	0.017391	0.017391	0.017391	0.013043	0.004246	LC	571.512316358535		genus													invertivore	carnivore	genus							
Spilogale putorius	carnivore			4	2	1	0.0000	2	11.00	13.27	29.5	18.9	-100.4	-109.3	15.500	20.000	500.0	1050.0	0.007339	0.007598	0.007866	0.007866	0.009901	0.000000	0.000601	LC	632.759881013322	152	species	492.502874818165	46	705.451434440563	106	25.3029799590525	385.373596351626	58.653334321156			170.618622713785	555.992219065411		carnivore	invertivore	species	1.21782647284367	0.747698083922092	1.87077456234023				temperate broadleaf/mixed forest
Taxidea taxus	carnivore			33	4	13	0.0769	4	18.02	32.38	46.2	29.5	-88.2	-115.7	4.300	20.000	500.0	860.0	0.018634	0.017991	0.030083	0.071297	0.087379	0.004227	0.002224	LC	7027.5959723955	7	species	6107.51543029672	4	8473.50457860406	3									carnivore		species	8.4984	8.4984			0.644		temperate savanna
Tremarctos ornatus	carnivore			11	2	2	0.0000	2	7.28	8.62	1.9	-6.4	-76.6	-79.0	10.5	10.5	1850.0	1850.0	0.305556	0.279145	0.353896	0.353896	0.571429	0.129630	0.003686	VU																browser	frugivore	species							
