species	life form	ecozones	regions	individuals	samples	samples within range	sampling probability within range	degree cells	mean pairwise distance	minimum span	northern limit	southern limit	eastern limit	western limit	minimum MAT	maximum MAT	minimum MAP	maximum MAP	raw frequency	mean abundance	median abundance	top quartile abundance	maximum abundance	abundance within range	abundance per day	IUCN status	mass (g)	mass N	mass source	female mass	female mass N	male mass	male mass N	ear length	head and body length	hind foot length	skull length	skull width	tail length	total body length	upper tooth row length	diet 1	diet 2	diet source	home range	female range	male range	daily path length	daily movement	population density	home range habitat
Acinonyx jubatus	carnivore			14	2	7	0.0000	2	35.23	36.94	11.6	-20.5	17.2	-1.5	21.000	21.000	532.0	532.0	0.058824	0.030300	0.059251	0.059251	0.110169	0.000000	0.007878	VU	41580.0591599361	47	species	37438.135959893	20	44940.8533416948	27	75.4850978670625	1267.23383264255	291.861268413608	228.277117618931	139.371843409742	740.536308231108	2034.70394254905		carnivore		species	343.279257473402	284.89796419069	388.704623367163		4.60855371774801	0.009	tropical/subtropical savanna
Ailuropoda melanoleuca	carnivore			1844	3	1	1.0000	2	1.96	3.33	33.7	32.9	107.9	104.1	11.500	14.700	867.0	924.0	0.348056	0.107456	0.062500	0.211573	0.360646	0.360646	0.017503	EN	95800	7	species													browser		species	7.11555179961387	6.6	7.67137536560427		0.425		temperate broadleaf/mixed forest
Ailurus fulgens	carnivore			43	1			1			25.3	25.3	98.7	98.7					0.076377	0.076377	0.076377	0.076377	0.076377		0.002903	EN	5797.20374070157	5	species	5848.07660688538	2	5763.53459433103	3									browser		species	2.0128751670526	1.69409717469511	2.3916375628607		0.454929664893377		temperate broadleaf/mixed forest
Aonyx capensis	carnivore			11	2	6	0.0000	2	31.49	33.19	1.1	-29.3	29.9	16.0	20.5	20.5	975.0	975.0	0.008423	0.015630	0.027001	0.027001	0.049020	0.007984	0.001320	NT	14403.2591968189	10	species			14403.2591968189	10	30.4250981096117	806.632694568298	147.905664712322	136.404852156913		490.922339471022	1297.55503403932		invertivore	carnivore	species							
Aonyx cinereus	carnivore			5	1			1			3.6	3.6	102.5	102.5	25.800	25.800	2017.0	2017.0	0.060241	0.060241	0.060241	0.060241	0.060241		0.010460	VU	14403.2591968189		genus													invertivore		species							
Arctictis binturong	carnivore			50	15	36	0.3056	13	15.95	46.72	27.5	-0.4	117.5	96.6	19.750	29.5	2270.0	3960.0	0.011450	0.013740	0.013889	0.034915	0.060606	0.003864	0.000508	VU	10246.8080767063	13	species	10613.0638739461	3	10513.1546741691	8									frugivore		species	5.56698592713634	3.03163322319835	6.81712533432892		0.688		tropical/subtropical dry broadleaf forest,tropical/subtropical moist broadleaf forest
Arctogalidia trivirgata	carnivore			75	7	18	0.2222	6	9.23	21.52	5.3	-0.0	117.5	101.5	25.200	26.000	2017.0	4147.0	0.029002	0.031650	0.076046	0.137550	0.285714	0.013279	0.001153	LC	2222.61107708929	2	species			2222.61107708929	2									frugivore	carnivore	species	0.352851243444033		0.352851243444033				tropical/subtropical moist broadleaf forest
Arctonyx albogularis	carnivore			386	7	6	0.5000	6	8.07	18.57	33.7	27.9	118.2	104.1	11.000	15.850	867.0	1964.0	0.067060	0.206743	0.258929	0.323941	0.647059	0.061826	0.002675		8321.77821849189	57	species	8184.23887646045	32	8501.20664922719	25		644.652484587746		134.876541980241	76.0087751194174			45.1899605126779	invertivore		genus							
Arctonyx collaris	carnivore			61	7	11	0.3636	7	10.39	20.93	27.5	12.8	106.5	96.6	19.750	28.000	1500.0	3960.0	0.044331	0.029450	0.024324	0.042004	0.090659	0.023284	0.002889	NT	8321.77821849189		genus													invertivore		species							
Atelocynus microtis	carnivore			20	3	3	0.3333	3	4.91	7.77	-5.4	-12.6	-67.3	-70.1	24.000	27.100	3000.0	3679.0	0.119048	0.109779	0.076923	0.174825	0.272727	0.113208	0.003898	NT																									
Atilax paludinosus	carnivore			317	14	30	0.3333	12	28.17	103.66	12.9	-34.3	36.9	-11.5	16.200	27.800	965.0	1875.0	0.060027	0.046842	0.046857	0.080432	0.666667	0.050691	0.010410	LC	2804.39452203812	40	species	2621.24138878452	17	2945.6002773292	22	32.0316068783152	538.42817846359	104.285461471309	108.067989645814		349.597615324099	888.025793787688		invertivore	carnivore	species	7.05722503464234		0.54				tropical/subtropical savanna,tropical/subtropical dry broadleaf forest
Bassariscus astutus	carnivore			170	7	10	0.4000	6	8.55	23.39	30.9	17.8	-96.9	-109.9	14.000	20.000	495.0	1350.0	0.091842	0.048099	0.026087	0.188980	0.511364	0.075323	0.009196	LC	948.683298050513	18	species	900	9	1000	9	47.4973683481517	385.917089541264	64.482555780614			370.978436030991	756.895525572255		invertivore	frugivore	species	3.50017142437338	1.52	8.06		0.55777056214899		temperate savanna
Bdeogale crassicauda	carnivore			374	6	1	1.0000	5	3.53	9.70	-3.6	-8.4	36.9	31.8	19.9	26	500.0	1900.0	0.286810	0.119390	0.261827	0.615694	0.812500	0.006192	0.036829	LC	4110		genus													invertivore	carnivore	species							
Bdeogale nigripes	carnivore			2	1			1			-2.4	-2.4	12.9	12.9			1800.0	1800.0	0.083333	0.083333	0.083333	0.083333	0.083333		0.002146	LC	4110	1	species													invertivore	carnivore	species							
Canis adustus	carnivore			114	7	12	0.2500	6	20.84	50.04	9.6	-6.7	36.2	0.7	17.25	27.800	1050.0	1780.0	0.070632	0.049994	0.117647	0.181000	0.220000	0.046942	0.008062	LC	9796.95897280352	10	species	9600	6	10100	4									carnivore		species	1.545						tropical/subtropical savanna
Canis aureus	carnivore			909	13	42	0.2381	13	34.00	92.93	41.2	12.8	107.5	32.3	6.000	28.000	350.0	3334.0	0.290045	0.086899	0.058333	0.533333	0.708333	0.094503	0.037712	LC	9943.10438175384	76	species	9561.70854901778	27	10769.5471901405	28		787					952		carnivore	frugivore	species	0.194076445565096			9.5			Mediterranean woodland
Canis latrans	carnivore			4924	40	55	0.6727	38	21.87	157.10	63.8	9.0	-73.4	-146.6	-0.949999999999999	28.000	436.0	4260.0	0.227059	0.121366	0.152367	0.348144	1.000000	0.211607	0.024730	LC	11982.1151554213	597	species	10883.6582632715	284	13074.4393379015	313		865	191			353	1218		carnivore	invertivore	species	26.6945075562755	21.7956317710111	29.294041153011	10.6240341734952	2.55439354220973	0.0802	temperate savanna
Canis lupus	carnivore	Nearctic, Palearctic	Central Asia, East Asia, Europe, Southwest Asia	7592	81	251	0.3147	75	75.20	646.21	68.8	-37.3	150.1	-148.8	-9.000	28.000	50.0	3334.0	0.178724	0.117217	0.153351	0.328535	1.000000	0.107929	0.016432	LC	43361.2974491479	33	species	41800	14	45785.3788805091	18	105	1168	255			400	1500		carnivore		species	17.157568433222	33.2514311480025	45.2	2.44605323202759	1.6	0.111262675120948	temperate broadleaf/mixed forest
Canis mesomelas	carnivore			808	11	15	0.4667	10	17.24	57.87	2.2	-33.6	35.0	14.9	17.700	25.5	68.0	1300.0	0.305829	0.096153	0.112500	0.303406	0.505814	0.235432	0.068272	LC	7863.46283709997	131	species	7298.7467612488	50	8068.79146756288	66	107.108863591507	769.011605970973	158.477325517814	169.503655436936		321.988368411874	1090.99997438285		carnivore		species	9.31899892137892	13.7	10.4858475999581	14.5306572459748		0.639	tropical/subtropical savanna
Caracal aurata	carnivore			34	4	1	0.0000	4	10.22	15.65	1.1	-0.0	30.4	14.9	17.25	17.25	1650.0	1650.0	0.093664	0.078598	0.264706	0.514706	0.529412	0.019608	0.003449	VU	2539.68501984006	2	species													carnivore		species							
Caracal caracal	carnivore			492	22	40	0.4500	17	33.90	149.66	36.9	-34.3	53.8	-1.5	16.200	27.800	61.0	1350.0	0.078682	0.055143	0.048459	0.176873	0.870968	0.056683	0.014169	LC	11565.924312423	106	species	9917.13418968247	43	12846.0618331097	63	80.7460430988883	862.79076197694	189.779707947686	130.338022081049		262.091802899023	1124.88256487596		carnivore		species	12.2637273110556	7.25280654877096	26.964791859015	4.2280789673296		0.181999059503258	desert/xeric shrubland
Catopuma badia	carnivore			6	2	5	0.0000	2	4.99	5.46	5.3	2.4	117.5	112.8	25.200	25.200	3098.0	3098.0	0.003247	0.002546	0.002849	0.002849	0.004129	0.000000	0.000113	EN	2444.38131231606	2	species	2444.38131231606	2			31.4960314960472	495.350308096595	123.244802954981	88.6497743933959	60.1021463843014	369.016305955601	864.366614052196		carnivore		genus							
Catopuma temminckii	carnivore			227	13	31	0.3226	12	15.37	46.79	33.7	2.5	107.8	90.8	11.500	29.5	924.0	3960.0	0.028991	0.038955	0.056604	0.121212	0.320896	0.016629	0.001537	NT	10327.1486868351	2	species	7900	1	13500	1	55	837.078252017098	167.032930884901			402.430118157178	1239.50837017428		carnivore		species	52.4928566568823	33.4	82.5		1.60805099421629		tropical/subtropical dry broadleaf forest
Cerdocyon thous	carnivore			1467	32	46	0.6087	23	18.00	101.45	4.8	-31.2	-37.3	-76.7	14.75	26.000	575.0	2638.0	0.319052	0.189413	0.203112	0.404309	1.000000	0.282739	0.017349	LC	5193.42360894336	19	species	5072.2	9	5305	10		645.674747072844							carnivore	frugivore	species	5.10777325688204	0.3	11.1	10.9		0.78	tropical/subtropical savanna
Chrysocyon brachyurus	carnivore			240	4	2	0.0000	4	4.55	8.93	-15.0	-21.3	-44.0	-47.2	20.400	24.000	1100.0	1460.0	0.199667	0.233496	0.326981	0.451084	0.511364	0.410550	0.004944	NT																carnivore	frugivore	species							
Civettictis civetta	carnivore			325	16	20	0.6500	14	23.67	99.60	12.9	-22.7	36.9	-11.5	17.25	27.800	68.0	1780.0	0.079037	0.070009	0.051970	0.308615	0.500000	0.093685	0.012325	LC	13753.1505666665	8	species	8700	1	14000	1									frugivore	invertivore	species	0.778973683766018	0.82	0.74	2.77992805662305			tropical/subtropical dry broadleaf forest
Conepatus amazonicus	carnivore			3	1			1			-8.5	-8.5	-37.3	-37.3	23.000	23.000	790.0	790.0	0.037975	0.037975	0.037975	0.037975	0.037975		0.001282		1770.73718454187		genus													invertivore		genus							
Conepatus chinga	carnivore			61	6	12	0.2500	4	21.02	34.40	-6.4	-31.2	-54.8	-79.0	18.100	18.600	575.0	1653.0	0.131183	0.143476	0.161222	0.184659	0.319149	0.047382	0.007700	LC	1862.82119083299	18	species	1620	11	2320	7	26.5662156283325	403.12629126656	60.6223283080598	70	45.902069670114	166.765563126392	566.982131037521		invertivore		species	0.84315970671076	0.55	1.65		0.314843170756542		tropical/subtropical moist broadleaf forest
Conepatus leuconotus	carnivore			67	10	15	0.5333	9	7.43	26.22	30.9	15.4	-92.4	-109.9	14.000	28.000	495.0	2750.0	0.032843	0.022900	0.023400	0.034432	0.145985	0.017268	0.002548	LC	1770.73718454187		genus						393.721646183093	73.1861142004594	79	43.087121045621	245.199060766893	638.920706949986	23	invertivore		genus	0.894000968578771	0.596848707147776	1.85008084500663				desert/xeric shrubland
Conepatus semistriatus	carnivore			147	5	32	0.0625	5	32.97	65.04	19.1	-15.8	-45.0	-97.3	24.000	26.000	1100.0	4260.0	0.119415	0.046846	0.045455	0.126437	0.143478	0.000952	0.003034	LC	1600	1	species			1600	1	20	398	76			172	570		invertivore		genus							
Crocuta crocuta	carnivore			847	10	19	0.3684	10	23.80	94.18	12.9	-20.9	36.2	-11.5	18.400	27.800	400.0	1780.0	0.252309	0.220534	0.305632	0.433607	0.754902	0.236187	0.059281	LC	65790.2960756718	12	species	73627.6716608923	4	62190.23928415	8									carnivore		species	91.9238815542512					0.0311742329169692	tropical/subtropical savanna
Crossarchus obscurus	carnivore			6	1			1			8.7	8.7	0.7	0.7			1350.0	1350.0	0.015113	0.015113	0.015113	0.015113	0.015113		0.001354	LC	1000	1	species																						
Cuon alpinus	carnivore			357	15	32	0.3438	14	19.23	73.42	39.1	4.6	107.5	76.6	-0.800	29.5	50.0	3960.0	0.064768	0.037362	0.071429	0.112525	0.162963	0.041817	0.006072	EN	14290.2288521262	5	species	11500	1	15979.139480908	3		965				356	1321		carnivore		species	47.2737493776674					0.0662	tropical/subtropical dry broadleaf forest
Cynictis penicillata	carnivore			2	2	1	0.0000	2	11.63	13.20	-22.7	-28.3	28.3	15.0	21.000	21.000	68.0	68.0	0.017699	0.018078	0.018464	0.018464	0.022222	0.000000	0.001360	LC	909.813719189937	34	species	931	9	936.999999999999	14	33.3005841872568	355.41012103718	76.3669010780319	71		255.670007849022	611.080128886201		invertivore	carnivore	species	0.624350664659707	0.299	1.02	3.23			desert/xeric shrubland
Cynogale bennettii	carnivore			4	3	5	0.2000	2	4.99	5.67	5.3	2.4	117.5	112.8	25.200	27.000	2700.0	3098.0	0.002148	0.005700	0.001652	0.036540	0.071429	0.000981	0.000073	EN																									
Diplogale hosei	carnivore			3	1			1			4.8	4.8	116.9	116.9			3800.0	3800.0	0.012876	0.012876	0.012876	0.012876	0.012876		0.001717	VU	1370	1	species	1370	1			36	484	81			346	830											
Eira barbara	carnivore			446	30	46	0.5652	27	24.62	118.90	15.4	-27.2	-39.2	-84.6	14.75	27.000	500.0	4260.0	0.113083	0.084105	0.068883	0.203518	0.500000	0.086420	0.005245	LC	4283.08308930227	13	species	4273.49849106284	4	5068.57624558714	4	33.1810734074858	603.912586797289	103.793552212983			412.085271862549	1015.99785865984		frugivore	carnivore	species	8.58821624682301	9.21732065190313	8.00204973741103	6.89		0.247997278001979	tropical/subtropical savanna,tropical/subtropical moist broadleaf forest
Felis catus	carnivore			1645	33	228	0.1272	30	86.44	469.44	47.4	-38.2	150.5	-105.2	4.000	26.100	500.0	2631.0	0.124820	0.058134	0.058824	0.305825	1.000000	0.020397	0.014731		2908.53832936073		genus													carnivore		genus	2.01667418282228	1.7145553359399	2.79				temperate broadleaf/mixed forest
Felis chaus	carnivore			181	9	33	0.1515	9	26.14	90.91	34.1	11.6	107.5	34.6	21.5	23.200	735.0	1850.0	0.042790	0.040360	0.057971	0.066667	0.103030	0.020373	0.009220	LC	5347.1990542454	6	species	3827	1	5698.33396704686	2	66.2141802331468	712.777324086783	157.918693942461	117.837399629189	75.9864715312635	251.996031652296	964.773355739079		carnivore		species							
Felis lybica	carnivore			118	13	28	0.2857	11	30.35	136.36	34.1	-33.6	52.9	-1.5	16.030	24.000	68.0	1159.0	0.028690	0.032762	0.023196	0.126582	0.484848	0.013112	0.006323		2908.53832936073		genus						520.349882290752			67.3	289	809.349882290752		carnivore		genus							
Felis nigripes	carnivore			1	1			1			-29.3	-29.3	29.9	29.9	20.5	20.5	975.0	975.0	0.000831	0.000831	0.000831	0.000831	0.000831		0.000758	VU	1620.74152769356	15	species	1338.55994921057	8	2016.7760912777	7	52.9872996743353	445.888172677982	101.839617230548			175.441064292772	621.329236970754		carnivore		species	13.213026515368	9.25288890612208	19.8532143082872			0.005	tropical/subtropical savanna
Felis silvestris	carnivore			80	2			2	6.07	7.39	42.2	41.2	32.3	22.5	8.800	8.800	1200.0	1200.0	0.048632	0.089229	0.124588	0.124588	0.211538		0.008662	LC	4455.53952464385	30	species	3743.47396077568	12	5003.99987257331	18	62.8493737029207	579.199123479008	135.9778306311	100.28317349962		300.634736331933	879.83385981094		carnivore		species	10.1526066514551	11.8994117501665	8.662228350719			0.114	temperate broadleaf/mixed forest
Galictis cuja	carnivore			6	3	8	0.1250	3	8.76	15.97	-15.0	-25.9	-45.0	-56.8	20.700	24.000	1100.0	1712.0	0.004988	0.005987	0.005479	0.009496	0.013514	0.001695	0.000166	LC	1475		genus													carnivore	invertivore	species	4.738		4.738				temperate savanna
Galictis vittata	carnivore			9	5	6	0.3333	4	11.49	23.26	17.2	-1.1	-80.9	-92.9	24.000	28.000	500.0	4260.0	0.006470	0.007623	0.007371	0.011765	0.020000	0.003846	0.000574	LC	1475	1	species	1475	1			27	485	72			162	647		carnivore	invertivore	genus							
Genetta angolensis	carnivore			17	2	1	0.0000	2	18.00	17.86	-0.9	-6.7	31.8	14.8	20	20	1050.0	1050.0	0.114865	0.116058	0.116122	0.116122	0.120000	0.100000	0.012869	LC	1725.25144403373		genus													invertivore	carnivore	genus							
Genetta genetta	carnivore			650	10	39	0.1538	9	40.16	148.49	42.6	-33.6	53.8	-11.5	17.700	21.000	244.0	532.0	0.207801	0.131283	0.137990	0.291154	0.377778	0.058134	0.056375	LC	1666.5944789835	100	species	1561.19104871862	48	1770.19544291982	52	48.3123380570186	491.864644035728	83.0824793660418	89.6654244210616		420.602200724507	912.466844760234		invertivore	frugivore	species	2.98442605521	1.92876235036854	4.61788300529323	3.22714570920026	0.822976850479583	0.071	tropical/subtropical savanna,desert/xeric shrubland,Mediterranean woodland
Genetta maculata	carnivore			104	5	7	0.2857	4	21.30	41.24	8.7	-0.9	36.2	0.7	18.400	25.5	1300.0	1780.0	0.169381	0.128751	0.133501	0.463768	0.500000	0.092453	0.013270	LC	1722.12759201767	5	species	1500	2	1888.20018465321	3									invertivore	carnivore	genus	3.61198018339882	3.67171023102498	3.52420203734122				tropical/subtropical savanna
Genetta pardina	carnivore			156	1			1			9.6	9.6	1.8	1.8	27.800	27.800	1104.0	1104.0	0.169381	0.169381	0.169381	0.169381	0.169381		0.032053	LC	1725.25144403373		genus													invertivore	carnivore	genus							
Genetta servalina	carnivore			90	5	5	0.2000	4	13.62	26.29	0.8	-8.4	36.9	14.9	17.25	26	1500.0	1900.0	0.121951	0.117767	0.105263	0.215686	0.355769	0.012528	0.013532	LC	3000	1	species													carnivore	invertivore	species							
Genetta thierryi	carnivore			1	1			1			8.7	8.7	0.7	0.7			1350.0	1350.0	0.002519	0.002519	0.002519	0.002519	0.002519		0.000226	LC	1725.25144403373		genus													invertivore	carnivore	genus							
Genetta tigrina	carnivore			279	9	11	0.6364	7	17.63	39.62	-3.6	-34.3	35.0	18.4	16.200	21.000	500.0	975.0	0.092445	0.070441	0.101266	0.184375	0.720000	0.086790	0.021531	LC	1699.76936755959	22	species	1572.20837693157	12	1866.57682406814	10	42.6640487760098	503.219076867549	84.0508946121626			421.45692628193	924.676003149479		invertivore	carnivore	species							
Gulo gulo	carnivore			45	5	10	0.3000	5	27.86	78.35	63.8	48.9	87.4	-146.6	-0.949999999999999		1060.0	1060.0	0.026738	0.036427	0.078652	0.095745	0.333333	0.001123	0.000622	LC	13179.1452952175	35	species	10700	11	14500	24												154.188493185313	131.374109119388	403				boreal forest/taiga
Helarctos malayanus	carnivore			1226	26	37	0.5946	19	15.35	60.52	27.5	-2.6	117.5	96.6	19.750	29.5	1500.0	4147.0	0.173630	0.087451	0.109643	0.193778	0.644144	0.102217	0.010474	VU	32340.3560670398	25	species	27538.4937990848	12	37512.8297077412	13							1197.25152757172		frugivore	invertivore	species	13.5043900239963		13.5043900239963		1.44089752776874		tropical/subtropical moist broadleaf forest
Helogale parvula	carnivore			4	1			1			-3.6	-3.6	35.0	35.0			500.0	500.0	0.010000	0.010000	0.010000	0.010000	0.010000		0.001833	LC																									
Hemigalus derbyanus	carnivore			731	11	18	0.4444	8	9.25	23.98	5.8	-0.0	117.5	101.8	23.000	27.250	2017.0	4147.0	0.216850	0.086093	0.097015	0.210008	0.378200	0.170972	0.008390	NT																invertivore		species							
Herpailurus yagouaroundi	carnivore			140	24	56	0.3750	19	28.88	110.58	19.6	-29.8	-40.0	-104.3	14.600	28.000	500.0	3450.0	0.028554	0.025889	0.029169	0.055386	0.333333	0.018312	0.001619	LC	5431.25346912764	7	species	5081.98178407427	3	5708.87188000533	4	33.875360028029	656.288008097802	139.511388288378			470.056799075688	700		carnivore		species	19.0156720647889	5.30603430068069	29.0999485512349	6.6		1	tropical/subtropical savanna,tropical/subtropical dry broadleaf forest,tropical/subtropical moist broadleaf forest
Herpestes ichneumon	carnivore			169	5	9	0.3333	4	38.39	69.63	31.5	-33.9	34.6	22.6	16.200	25.5	965.0	1300.0	0.072626	0.025823	0.015625	0.067873	0.121262	0.067141	0.035230	LC	2859.05688812769	32	species	2701.67562670641	20	3141.99471508247	12	33.9411254969543	565.74464204268	97.4884608556316			498.28907272787	1064.03371477055		carnivore	invertivore	species	7.8						tropical/subtropical savanna
Herpestes pulverulentus	carnivore			24	4	5	0.4000	3	6.55	11.08	-28.3	-34.3	28.3	18.4	16.200	17.700	244.0	965.0	0.058537	0.047754	0.085590	0.210431	0.265306	0.008333	0.004258	LC	786.602387419326	76	species	712	26	824.999999999999	45	27.6043589408058	355.238809185441	63.5237807576191	68.2060880493119		290.401153939937	645.639963125378		carnivore	invertivore	genus							
Herpestes sanguineus	carnivore			82	8	20	0.2500	6	27.05	82.34	12.9	-29.8	35.0	-11.5	20.400	21.000	500.0	975.0	0.020505	0.017834	0.029557	0.042788	0.233333	0.012920	0.009851	LC	465.25412569222	8	species	397.090020594725	6	748.331477354788	2	22	330	56			255	585		carnivore	invertivore	genus							
Hyaena hyaena	carnivore			871	11	14	0.5000	11	27.32	98.90	34.1	-3.6	86.4	34.6	16.030	23.200	61.0	1850.0	0.156009	0.069015	0.127273	0.292012	0.803977	0.159420	0.034768	NT	30090.2893867233	34	species	29154.4412566333	18	31179.0739179859	16		1095.58476871447			155	457	1552.58476871447		carnivore		species	66.616444474139	44	72	19		0.085	tropical/subtropical savanna
Hydrictis maculicollis	carnivore			1	1			1			-29.3	-29.3	29.9	29.9	20.5	20.5	975.0	975.0	0.000831	0.000831	0.000831	0.000831	0.000831		0.000758	NT	4923.63466437034	7	species	4283.29556642636	3	5465.96256947082	4	17.9047828191195	652.78174750706	120.585511584242			417.123782987765	1069.90553049482											
Ichneumia albicauda	carnivore			394	13	25	0.4000	12	29.61	100.78	17.2	-29.8	53.8	-1.5	20	27.800	252.0	1350.0	0.077179	0.050725	0.066667	0.088608	0.184582	0.059717	0.016398	LC	3417.84547569709	7	species	3758.22195999162	3	3182.95077679117	4	39.4238196777719	564.96010402614	126.728876048317			414.283915176532	979.244019202672		invertivore	carnivore	species	0.629876519008989	0.7	0.51				tropical/subtropical savanna
Ictonyx striatus	carnivore			21	5	3	0.0000	4	10.46	23.63	-20.5	-33.6	29.9	15.0	17.700	21.000	68.0	975.0	0.012963	0.021912	0.048077	0.058824	0.064516	0.000753	0.004739	LC	753.454575731153	25	species	576	4	793	21	27.2545775329977	338.085146723083	52.6367549524336	61.4938352124038		203.072921729497	541.158068452579		invertivore	carnivore	species						0.297	
Leopardus colocolo	carnivore			12	3	9	0.1111	3	10.18	17.90	-15.0	-29.8	-45.0	-54.8	18.600	24.000	1100.0	1532.0	0.009934	0.010555	0.011765	0.014503	0.017241	0.004566	0.000290	NT	971	1	species	971	1			45	395	92		53.32	205	600	19.77	carnivore		species							
Leopardus emiliae	carnivore			167	2	2	0.0000	2	9.80	9.94	-8.5	-15.0	-37.3	-45.0	23.000	24.000	790.0	1100.0	0.217165	0.210528	0.210686	0.210686	0.218841	0.215517	0.005817		1924	8	species					45.25	464.33	110.25		54.68	288.67	753		carnivore		genus							
Leopardus geoffroyi	carnivore			33	4	4	0.2500	3	7.84	11.17	-24.1	-31.2	-54.8	-63.4	18.100	18.600	575.0	1653.0	0.080292	0.064771	0.073317	0.195990	0.276596	0.042781	0.006653	LC	4620.32057608662	7	species	4200	2	4800	5	37	435	97	84.5	56.5	326.700880150722	656.63018747658		carnivore		species	6.27733146984917	3.74761925330969	8.55434619276418		0.764142351070777		desert/xeric shrubland
Leopardus guigna	carnivore			1	1			1			-40.1	-40.1	-71.7	-71.7	12.6	12.6	2500.0	2500.0	0.000792	0.000792	0.000792	0.000792	0.000792		0.000285	VU	3948.26801825225		genus													carnivore		genus							
Leopardus guttulus	carnivore			8	3	8	0.1250	3	7.92	14.06	-20.0	-25.6	-40.5	-54.5	19.900	21.000	1712.0	2000.0	0.018648	0.036087	0.018868	0.100343	0.181818	0.005025	0.000806		2378.64	24	species					42.4	472.65	108.26		54.11	263.57	740.54		carnivore		genus	6.865350340991	10.3	5.60499776984791			0.0806	tropical/subtropical dry broadleaf forest
Leopardus pardalis	carnivore			752	45	63	0.6508	38	29.99	160.23	30.9	-27.2	-40.0	-109.9	14.000	27.600	500.0	4260.0	0.132046	0.133537	0.218978	0.454545	0.750000	0.082870	0.006434	LC	8391.9440719667	58	species	7207.16740737042	15	8682.50365556925	40	57.8577308080447	750.260129239592	162.903995064046		103	364.067989391635	1118.88337193829	40.4227658628155	carnivore		species	19.5858789592549	17.368542717506	22.9887829418186	6.35	1.89014472374378	0.8495	tropical/subtropical moist broadleaf forest
Leopardus wiedii	carnivore			91	18	49	0.2857	18	31.19	104.63	22.2	-31.2	-51.6	-104.3	14.600	27.000	500.0	4260.0	0.038674	0.033943	0.033559	0.068750	0.158824	0.015611	0.002310	NT	2554.29657790099	12	species	1686.8653306035	3	2933.15462447685	9	47.9847704315019	541.382818126142	109.92816570177	94.5	63	352.866301788243	870.058907476207		carnivore		species	5.22345016727863	12.66	4.37584777786423	6.65			tropical/subtropical dry broadleaf forest,tropical/subtropical moist broadleaf forest
Leptailurus serval	carnivore			308	5	16	0.1250	5	28.16	64.42	11.6	-29.3	34.9	-1.5	20.5	21.000	500.0	975.0	0.162619	0.046259	0.016949	0.237542	0.288889	0.006547	0.048557	LC	10374.348172295	46	species	9669.99999999999	23	11130	23	88.4646822183859	618.117745590144	187.419315973568			485.860062157819	1103.97780774796		carnivore		species							
Lontra canadensis	carnivore			3	2	22	0.0000	2	21.01	31.70	56.3	36.0	-76.4	-112.7	16.05	16.05	1265.0	1265.0	0.001656	0.001666	0.001667	0.001667	0.001698	0.000000	0.000068	LC	7107.46790937437	7	species	7320.52996372635	4	6833	3	18.5931990183885	695.5106532356	118.96082293251			388.967099438452	1084.47775267405		piscivore		species							
Lontra longicaudis	carnivore			4	3	25	0.0000	3	29.98	49.00	4.8	-31.2	-47.2	-71.7	18.100	18.100	1653.0	1653.0	0.007561	0.009535	0.007692	0.023454	0.039216	0.000000	0.000271	NT	5843.62663336846	3	species	3856	1	7193.74728496907	2	22.4666171616555	652.303610292017	95.1217006260041		72.1248916810278	470.136042748846	810.246875958186	30.5581413047325	piscivore		genus							
Lutra lutra	carnivore			13	4	17	0.1176	4	36.69	86.76	42.6	33.7	107.8	-1.9	11.500	17.000	350.0	1200.0	0.002469	0.011127	0.025062	0.076199	0.125000	0.001941	0.000127	NT	6148.41452286277	8	species	5221.36738837009	5	8073.48951097517	3							1093.62356621303		piscivore	carnivore	species							
Lutrogale perspicillata	carnivore			11	2	2	0.0000	2	18.58	17.05	13.3	5.0	117.0	101.9	27.000	28.000	1500.0	2890.0	0.023454	0.016175	0.018498	0.018498	0.027473	0.000000	0.001852	VU	7500	1	species			7500	1									piscivore	carnivore	species							
Lycalopex culpaeus	carnivore			1265	2	1	0.0000	2	40.26	34.40	-6.4	-40.1	-71.7	-79.0	12.6	12.6	2500.0	2500.0	0.985202	0.426232	0.590513	0.590513	0.999208	0.136364	0.229333		8020.80787769882	11	species	7460.00000000001	4	8359.99999999999	7	92.5678284048456	794.466462789243	166.98846574526			440.923800312259	1235.3902631015		invertivore	carnivore	species							
Lycalopex gymnocercus	carnivore			80	5	4	0.5000	3	7.84	11.17	-24.1	-31.2	-54.8	-63.4	18.100	18.600	575.0	1653.0	0.180587	0.174567	0.171875	0.223529	0.234043	0.080214	0.013514		5598.51618718567	16	species	4627.41917819961	5	6104.91112010384	11									carnivore	frugivore	species	1.23579798400757	0.791620877622521	1.41246129304208			1.5	temperate savanna
Lycalopex vetulus	carnivore			76	1			1			-15.0	-15.0	-45.0	-45.0	24.000	24.000	1100.0	1100.0	0.110145	0.110145	0.110145	0.110145	0.110145		0.002882		5826.69656667832		genus					76	650	130	122	63.5	310	960		frugivore	invertivore	species	3.85	3.85		9.31			tropical/subtropical savanna
Lycaon pictus	carnivore			1	1			1			-3.6	-3.6	35.0	35.0			500.0	500.0	0.002500	0.002500	0.002500	0.002500	0.002500		0.000458	EN	25819.4430384071	27	species	25043.0243344942	11	26367.1496709502	16									carnivore		species	659				10.5	0.0151	tropical/subtropical savanna
