"","species","species_name","extant","IUCN.status","mass.g","BMR","eq","abundance","density","home.range","loctype","diet.cat","shannon","simpson","activity","soc.complexity","gr.size","ges.days","interbirth.days","weaning.days","longevity","litter","Afrotropic","Indomalaya","Nearctic","Neotropic","Palearctic","Lat","georange"
"Prionailurus_viverrinus","Prionailurus viverrinus","Prionailurus_viverrinus",1,"Vulnerable",8165,NA,0.083919447,NA,NA,NA,"sa",NA,NA,NA,"Cath/Cre",0,1,66.5,365,135.96,NA,2.5,0,1,0,0,0,10.99501,3546617.17
"Procyon_cancrivorus","Procyon cancrivorus","Procyon_cancrivorus",1,"Least Concern",4995.650575,445.496,0.321386212,0.001790154,0.200375561,0.793246828,"sc",1,0.704658488,0.01102478,"Noc",0,1,63,365,111.36,NA,NA,0,0,0,1,0,0.133343,12829315.4
"Procyon_lotor","Procyon lotor","Procyon_lotor",1,"Least Concern",5493.094685,2096.986,-0.08500838,0.060189653,2.133950516,2.087122025,"sc",1,0.85515152,0.002313672,"Cath/Cre",1,1,63,365,104.16,21,3.8,0,0,1,0,0,38.400002,11703644.72
"Proteles_cristata","Proteles cristata","Proteles_cristata",1,"Least Concern",9119.90698,2099.376,0.069389919,0.00445591,1,3.8,"t",3,0.082650374,0.131004167,"Noc",2,1.25,90,365,120.48,20,2.8,1,0,0,0,0,-15.3000105,6435462.88
"Puma_concolor","Puma concolor","Puma_concolor",1,"Least Concern",48721.38099,8497.883991,-0.060479761,0.003225722,0.038807698,179.26253,"sc",2,0.008565331,0.28127455,"Cath/Cre",0,1,94,577.91,120.48,23.8,2.8,0,0,1,1,0,29.850004,22350859.07
"Smilodon_fatalis","Smilodon fatalis","Smilodon_fatalis",0,"Extinct",NA,22844.77453,NA,NA,NA,NA,"t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,37.6096705,NA
"Smilodon_populator","Smilodon populator","Smilodon_populator",0,"Extinct",NA,27857.75092,NA,NA,NA,NA,"t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,-13.9365385,NA
"Spilogale_gracilis","Spilogale gracilis","Spilogale_gracilis",1,"Least Concern",632.759881,297.4375376,-0.265908565,0.003184713,NA,NA,"t",NA,NA,NA,"Noc",0,1,220,365,60,NA,3.8,0,0,1,0,0,35.450287,3831634.7
"Spilogale_putorius","Spilogale putorius","Spilogale_putorius",1,"Vulnerable",632.759881,288.06192,-0.325628068,0.000300842,NA,1.217826473,"t",NA,NA,NA,"Noc",0,1,60,243.33,55.68,10.5,5.5,0,0,1,0,0,35.2833425,2957350.08
"Suricata_suricatta","Suricata suricatta","Suricata_suricatta",1,"Least Concern",662.8601502,297.5263202,0.168521723,NA,NA,NA,"sf",NA,NA,NA,"Diu",5,6.35,70,365,55.68,20.6,NA,1,0,0,0,0,-28.1925095,1720747.74
"Taxidea_taxus","Taxidea taxus","Taxidea_taxus",1,"Least Concern",7027.595972,2591.716001,0.252505587,0.001954441,0.95,8.4984,"sf",5,0.432832179,0.032870596,"Noc",0,1,43.8,365,41.99,25,4,0,0,1,0,0,36.050011,8860573.16
"Tremarctos_floridanus","Tremarctos floridanus","Tremarctos_floridanus",0,"Extinct",NA,25446.99808,NA,NA,NA,NA,"t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,25.2833425,NA
"Tremarctos_ornatus","Tremarctos ornatus","Tremarctos_ornatus",1,"Vulnerable",NA,18318.48157,-0.283501601,0.003017097,NA,NA,"sc",6,0.479402694,0.02597508,"Cath/Cre",0,1,210,365,173.44,NA,NA,0,0,0,1,0,-1.341667,409517.73
"Urocyon_cinereoargenteus","Urocyon cinereoargenteus","Urocyon_cinereoargenteus",1,"Least Concern",4072.895414,1421.487071,NA,0.020110488,NA,1.028746475,"a",6,0.486309895,0.024550702,"Cath/Cre",NA,NA,NA,NA,NA,16.2,3.8,0,0,1,0,0,36.750011,NA
"Ursus_americanus","Ursus americanus","Ursus_americanus",1,"Least Concern",114572.4693,14666.95201,0.130499202,0.030530527,0.11875,58.79965858,"sc",6,0.795246574,0.006211361,"Diu",0,1,214,821.25,167.99,34,2.5,0,0,1,0,0,38.158342,9650153.48
"Ursus_arctos","Ursus arctos","Ursus_arctos",1,"Least Concern",155513.7946,18928.32198,0.118172163,0.00847396,0.03034,29.6965461,"sc",6,0.701405688,0.010014087,"Cath/Cre",0,1,227.5,912.5,182.5,40,2.5,0,0,1,0,1,46.133343,23972321.42
"Ursus_deningeri","Ursus deningeri","Ursus_deningeri",0,"Extinct",100429.6113,32551.82185,NA,NA,NA,NA,"t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,44.166676,NA
"Ursus_maritimus","Ursus maritimus","Ursus_maritimus",1,"Vulnerable",100429.6113,21407.70798,0.050536997,NA,NA,NA,"t",NA,NA,NA,"Diu",NA,NA,NA,NA,NA,43.8,1.9,0,0,1,0,0,68.258343,NA
"Ursus_spelaeus","Ursus spelaeus","Ursus_spelaeus",0,"Extinct",100429.6113,24789.67357,NA,NA,NA,NA,"t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,44.514872,NA
"Ursus_thibetanus","Ursus thibetanus","Ursus_thibetanus",1,"Vulnerable",62755.24396,11011.96507,0.346073195,0.003261943,0.07,47.31325165,"t",6,0.190343749,0.078022036,"Cath/Cre",0,1,210,365,82.01,NA,2,0,1,0,0,1,22.565844,5348705.49
"Herpestes_edwardsii","Urva edwardsii","Herpestes_edwardsii",1,"Least Concern",NA,435.2037952,-0.356341102,0.003943315,NA,NA,"t",NA,NA,NA,"Diu",0,1,62,109.5,34.8,NA,NA,0,1,0,0,0,21.106121,3629768.58
"Viverra_megaspila","Viverra megaspila","Viverra_megaspila",1,"Endangered",8600.474329,1937.140388,NA,NA,NA,NA,"sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,20.62001,NA
"Viverra_zibetha","Viverra zibetha","Viverra_zibetha",1,"Least Concern",8600.474329,1889.374175,-0.310707837,NA,NA,12,"t",NA,NA,NA,"Noc",0,1,80.3,182.5,30,NA,3,0,1,0,0,1,30.391815,4064204.47
"Viverricula_indica","Viverricula indica","Viverricula_indica",1,"Least Concern",3042.170278,944.9629803,-0.477126316,NA,NA,2.652734438,"t",5,NA,NA,"Noc",0,1,67,365,127.5,NA,NA,0,1,0,0,0,6.648621,8147745.62
"Vormela_peregusna","Vormela peregusna","Vormela_peregusna",1,"Vulnerable",355.9177444,291.4306977,-0.26535182,NA,NA,NA,"t",NA,NA,NA,"Cath/Cre",0,1,285,365,30,8.9,6,0,0,0,0,1,32.755287,8883616.47
"Vulpes_chama","Vulpes chama","Vulpes_chama",1,"Least Concern",2738.889285,1005.116337,0.428780051,0.005176239,0.169,27.68,"t",2,0.577424077,0.021469458,"Noc",2,2,52.59,365,70,NA,4,1,0,0,0,0,-27.616676,2079866.13
"Vulpes_corsac","Vulpes corsac","Vulpes_corsac",1,"Least Concern",3564.036496,1038.019832,NA,NA,NA,NA,"t",NA,NA,NA,"Noc",NA,NA,NA,NA,NA,NA,5.5,0,0,0,0,1,51.442787,NA
"Vulpes_lagopus","Vulpes lagopus","Vulpes_lagopus",1,"Least Concern",3314.220013,1318.993201,0.256352807,NA,NA,NA,"t",NA,NA,NA,"Cath/Cre",3,2,52.5,365,49.5,16.3,6,0,0,1,0,1,60.1670935,1774767
"Vulpes_macrotis","Vulpes macrotis","Vulpes_macrotis",1,"Least Concern",1436.118992,900.0740008,NA,0.026551453,NA,NA,"t",5,0.708947479,0.008907751,"Noc",NA,NA,NA,NA,NA,NA,4.5,0,0,1,0,0,40.450008,NA
"Vulpes_rueppellii","Vulpes rueppellii","Vulpes_rueppellii",1,"Least Concern",3564.036496,767.1899994,-0.182095695,NA,NA,NA,"t",NA,NA,NA,"Noc",3,3.8,52.5,365,49,14.3,3.3,0,0,0,0,1,25.522232,11669070.9
"Vulpes_velox","Vulpes velox","Vulpes_velox",1,"Least Concern",2353.061344,851.4518393,0.624878887,NA,NA,NA,"t",NA,NA,NA,"Noc",3,2.5,51,365,47.08,15.9,4.5,0,0,1,0,0,40.366676,671658.66
"Vulpes_vulpes","Vulpes vulpes","Vulpes_vulpes",1,"Least Concern",5327.374282,1442.126001,0.119962439,0.015682495,1.63,2.218405492,"t",5,0.705930199,0.007822033,"Noc",3,3,52,365,50.71,21.3,6,0,0,1,0,1,41.533344,63034304.34
"Vulpes_zerda","Vulpes zerda","Vulpes_zerda",1,"Least Concern",3564.036496,471.6712801,-0.005751817,NA,NA,NA,"sf",NA,NA,NA,"Cath/Cre",NA,NA,NA,NA,NA,NA,3.5,1,0,0,0,0,17.70001,NA
