"","species","species_name","extant","IUCN.status","mass.g","BMR","eq","abundance","density","home.range","loctype","diet.cat","shannon","simpson","activity","soc.complexity","gr.size","ges.days","interbirth.days","weaning.days","longevity","litter","Afrotropic","Indomalaya","Nearctic","Neotropic","Palearctic","Lat","georange"
"Conepatus_robustus","Conepatus robustus","Conepatus_robustus",0,"Extinct",1862.821191,1782.584394,NA,NA,NA,NA,"t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,33.233341,NA
"Crocuta_crocuta","Crocuta crocuta","Crocuta_crocuta",1,"Least Concern",65790.29608,7878.241907,0.235131075,0.058580627,0.031174233,91.92388155,"t",2,0.079136945,0.133549868,"Noc",6,25.5,112.3,441.04,371.37,41.1,2,1,1,0,0,1,33.939999,14790149.69
"Cuon_alpinus","Cuon alpinus","Cuon_alpinus",1,"Endangered",14290.22885,4460.630063,0.382228115,0.005817613,0.0662,47.27374938,"t",2,0,1,"Cath/Cre",5,7.5,63,365,57.33,16.1,5,0,1,0,0,1,31.743343,10546280.1
"Cynictis_penicillata","Cynictis penicillata","Cynictis_penicillata",1,"Least Concern",909.8137192,483.4484587,0.044259207,0,NA,0.624350665,"t",NA,NA,NA,"Diu",5,3.5,56,365,41.76,15.2,2.3,1,0,0,0,0,-27.616676,2233627.48
"Dusicyon_avus","Dusicyon avus","Dusicyon_avus",0,"Extinct",NA,3493.243551,NA,NA,NA,NA,"t",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,-38.566677,NA
"Felis_catus","Felis catus","Felis_catus",1,NA,2908.538329,1845.600002,NA,0.014862733,NA,2.016674183,"sc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,1,29.602787,NA
"Felis_chaus","Felis chaus","Felis_chaus",1,"Least Concern",5347.199054,1310.944425,-0.128273823,0.008762545,NA,NA,"sc",NA,NA,NA,"Cath/Cre",0,1,64.5,130.01,95.49,20,3,0,1,0,0,1,21.1193105,8986835.66
"Felis_lybica","Felis lybica","Felis_lybica",1,"Least Concern",2908.538329,940.4849171,NA,0.014043584,NA,NA,"sc",5,0.625463651,0.012653357,"Noc",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,-28.768343,NA
"Felis_margarita","Felis margarita","Felis_margarita",1,"Least Concern",2908.538329,NA,0.003966906,NA,NA,NA,"sc",NA,NA,NA,"Noc",0,1,63,197.7,120,NA,3,0,0,0,0,1,33.939999,12141993.7
"Felis_nigripes","Felis nigripes","Felis_nigripes",1,"Vulnerable",1620.741528,786.8134459,NA,0,0.005,13.21302652,"sc",NA,NA,NA,"Noc",NA,NA,NA,NA,NA,15.6,2,1,0,0,0,0,-27.616676,NA
"Felis_silvestris","Felis silvestris","Felis_silvestris",1,"Least Concern",4455.539525,453.228893,-0.134110422,0.005961598,0.114,10.15260665,"sc",2,0.25201721,0.070037063,"Cath/Cre",0,1,60.5,148.25,76.01,19,3.3,0,0,0,0,1,43.979733,32110980.01
"Genetta_genetta","Genetta genetta","Genetta_genetta",1,"Least Concern",1666.594479,274.9895758,-0.344433816,0.055507372,0.071,2.984426055,"a",5,0.492487419,0.021390411,"Noc",0,1,73.5,182.5,71.8,22.7,2.5,1,0,0,0,0,18.366676,17766920.65
"Genetta_tigrina","Genetta tigrina","Genetta_tigrina",1,"Least Concern",1699.769368,731.3399993,NA,0.020842983,NA,NA,"a",1,1,0.000671554,"Noc",NA,NA,NA,NA,NA,21.3,NA,1,0,0,0,0,-13.4052875,NA
"Gulo_gulo","Gulo gulo","Gulo_gulo",1,"Least Concern",13179.1453,5607.417995,0.323066171,0.000551648,0.005333333,154.1884932,"sc",2,0.154332209,0.086550199,"Noc",0,1,242.5,821.25,83.64,19.5,2.8,0,0,1,0,1,53.033344,24495951.71
"Helarctos_malayanus","Helarctos malayanus","Helarctos_malayanus",1,"Vulnerable",32340.35607,7329.373473,0.338828284,NA,1.2125,13.50439002,"sc",1,NA,NA,"Noc",0,1,105,100,90.36,35.9,1.5,0,1,0,0,0,20.361677,2525372.13
"Herpailurus_yagouaroundi","Herpailurus yagouaroundi","Herpailurus_yagouaroundi",1,"Least Concern",5431.253469,1494.254003,0.061878719,0.001335429,1,19.01567206,"sc",2,0.48506417,0.028923933,"Cath/Cre",0,1,72.5,182.5,48.46,NA,1.9,0,0,1,0,0,30.299999,15093388.56
"Herpestes_ichneumon","Herpestes ichneumon","Herpestes_ichneumon",1,"Least Concern",2859.056888,521.2379403,-0.173919886,0.034188034,NA,7.8,"t",5,0.875461199,0.002978267,"Cath/Cre",1,1,60,365,58.09,NA,NA,1,0,0,0,1,15.65001,14429050.1
"Herpestes_pulverulentus","Herpestes pulverulentus","Herpestes_pulverulentus",1,"Least Concern",786.6023874,382.4264051,NA,0.003548616,NA,NA,"t",NA,NA,NA,"Cath/Cre",NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,-33.370567,NA
"Herpestes_sanguineus","Herpestes sanguineus","Herpestes_sanguineus",1,"Least Concern",465.2541257,379.1782798,NA,0.008891025,NA,NA,"sc",NA,NA,NA,"Diu",NA,NA,NA,NA,NA,12.6,NA,1,0,0,0,0,-16.1691765,NA
"Hyaena_hyaena","Hyaena hyaena","Hyaena_hyaena",1,"Near Threatened",30090.28939,5497.956002,0.083396064,0.034334079,0.085,66.61644447,"t",5,0.739113765,0.005165053,"Cath/Cre",1,2.3,90.5,237.25,118.93,25,2.4,1,0,0,0,1,15.65001,24254343.2
"Ichneumia_albicauda","Ichneumia albicauda","Ichneumia_albicauda",1,"Least Concern",3417.845476,840.6621323,-0.06118301,0.015857161,NA,0.629876519,"t",NA,NA,NA,"Noc",0,1,60,365,270,NA,NA,1,0,0,0,1,-6.361121,14326821.09
"Ictonyx_libycus","Ictonyx libycus","Ictonyx_libycus",1,"Least Concern",753.4545757,NA,NA,NA,NA,NA,"t",NA,NA,NA,"Noc",NA,NA,NA,NA,NA,NA,2.5,0,0,0,0,1,33.939999,NA
"Ictonyx_striatus","Ictonyx striatus","Ictonyx_striatus",1,"Least Concern",753.4545757,474.3147333,-0.053263706,0.003610923,0.297,NA,"sf",NA,NA,NA,"Noc",NA,NA,NA,NA,NA,NA,2.3,1,0,0,0,0,-29.766678,NA
"Leopardus_pardalis","Leopardus pardalis","Leopardus_pardalis",1,"Least Concern",8391.944072,3023.349997,0.122115283,0.006011422,0.8495,19.58587896,"sc",2,0.585012229,0.019623721,"Cath/Cre",0,1,80.5,360.9,106.18,28.2,1.5,0,0,0,1,0,4.602232,16040024.42
"Leopardus_wiedii","Leopardus wiedii","Leopardus_wiedii",1,"Near Threatened",2554.296578,898.6400003,0.532083915,0.001852604,NA,5.223450167,"a",2,0.505693338,0.025309251,"Noc",NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,-24.516678,NA
"Leptailurus_serval","Leptailurus serval","Leptailurus_serval",1,"Least Concern",10374.34817,3005.186,-0.047724706,0.047761665,0.325111111,NA,"t",2,0.203854004,0.080387721,"Cath/Cre",0,1,74,182.5,104.68,22.4,2.4,1,0,0,0,0,-0.833343,12526196.74
"Lontra_canadensis","Lontra canadensis","Lontra_canadensis",1,"Least Concern",7107.467909,2443.182585,0.085047403,0.0000226,NA,NA,"sa",4,0.56713545,0.016866501,"Cath/Cre",3,15,62,365,121.66,26.5,3,0,0,1,0,0,37.7333395,11887021.15
"Lutra_lutra","Lutra lutra","Lutra_lutra",1,"Near Threatened",6148.414523,4319.208001,0.220571986,0.0000888,NA,NA,"sa",4,0.582700293,0.014190582,"Noc",1,1,61.5,365,100.8,18.2,2.5,0,1,0,0,1,42.866676,25877469.45
"Lutrogale_perspicillata","Lutrogale perspicillata","Lutrogale_perspicillata",1,"Vulnerable",7500,NA,0.19408847,NA,NA,NA,"sa",4,NA,NA,"Diu",3,8,61.5,365,72.53,15.4,1.5,0,1,0,0,0,20.361677,5506788.05
"Lycalopex_culpaeus","Lycalopex culpaeus","Lycalopex_culpaeus",1,"Least Concern",8020.807878,1955.498,NA,0.228970268,NA,NA,"t",2,0.507806078,0.024763574,"Noc",NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,-34.483341,NA
"Lycalopex_griseus","Lycalopex griseus","Lycalopex_griseus",1,"Least Concern",2610.918322,1201.807176,0.450233507,NA,NA,NA,"t",5,0.445095248,0.022514371,"Cath/Cre",3,2.5,55.5,365,180,NA,NA,0,0,0,1,0,-48.483343,1620863.23
"Lycalopex_gymnocercus","Lycalopex gymnocercus","Lycalopex_gymnocercus",1,"Least Concern",5598.516187,1664.30185,NA,0.012668919,1.5,1.235797984,"t",1,0.752032747,0.005640372,"Noc",NA,NA,NA,NA,NA,NA,3.35,0,0,0,1,0,-36.9433385,NA
